tema,frequencia
Figura Humana,1172
Natureza,612
Mulher,494
Grupo,469
Homem,460
Social,458
Retrato,453
Paisagem,359
Criança,354
Cultura Brasileira,349
Animais,283
Menino,219
Homens,202
Tipos étnicos,171
Diversos,159
Jogos infantis,151
Trabalhadores,149
Campo,146
Cenas de trabalho,127
Religioso,116
Menina,116
Brincadeiras,107
Crianças,107
Elementos recorrentes,103
Negro,101
Mulheres,94
Espantalho,80
Flores,76
Cavalo,70
Membros,68
Família do artista,68
Cenas Religiosas,64
Baú,62
Jesus,61
Lavrador,61
Tipos populares,61
Cabeça,60
Brinquedos,58
Cangaceiro,54
Brodowski,51
Músicos,50
Objetos,48
Histórico,47
Índio,46
Carneiro,46
Cabaça,41
Colona,41
Figura,41
Marinha,40
Casal,38
Metafísica,37
Favela,37
Não Figurativo,37
Personagens,37
Empinando pipa,35
Cenas Históricas,33
Santos,32
Baiana,32
Boi,31
Mulato,30
Morte,30
Pipa,29
Cultura de café,29
Retirante,29
Via sacra,28
Festas populares,27
Natureza-morta,25
Guerra,24
Galo,23
Clarinetista,21
Pássaro,20
Balão,20
Bandeirantes,19
Floresta,19
Peixe,19
Pilão,18
Casamento na roça,18
Deserto,17
Frutas,17
Rio de Janeiro,16
Garimpeiro,16
Pulando carniça,16
Garimpagem,16
Nossa Senhora,15
Carcaça,15
Cachorro,14
Arapuca,14
Corda,13
Neta,13
Palhaço,13
Bezerro,13
Figuras,13
Festa de São João,13
Jogando futebol,13
Burro,12
Eclesiástico,12
Brincando na gangorra,12
Flautista,12
Bandeiras,12
Filho,12
Moringa,12
Bumba-meu-boi,11
Jangada,11
Cultura de fumo,10
Cultura de arroz,10
Toalha,10
Soltando balão,10
Gato,10
Jesuita,10
Petrópolis,9
São Francisco de Assis,9
Brincando no balanço,9
Vaqueiro,9
Cultura de cana,9
Jesuítas,9
Onça,8
Cabrito,8
Circo,8
Gaiola,8
Capataz,8
Embarcação,8
Jangadeiro,8
Violonista,8
São José,8
Banda de músicos,8
Atirando com estilingue,7
Sagrada Família,7
Lavadeira,7
Fuga para o Egito,7
Catequese,7
Sobrinho,7
Cidade,7
Autorretrato,7
Tronco,7
Dança,7
Morro,7
Peru,6
Pesca,6
Pescador,6
Tintureiro,6
Padre Anchieta,6
Camponês,6
Urubu,6
Frevo,6
Plantando bananeira,5
Brincando de roda,5
Ira das mães,5
Cultura de cacau,5
Cultura de algodão,5
Tempestade acalmada,5
Anjo,5
Plantas,5
Fluvial,5
Jarra,5
Céu,5
Pomba,5
São Pedro,4
Seringueiro,4
Cultura de borracha,4
Laçando boi,4
Casario,4
Figura Simbólica,4
Lavoura,4
Carnaval,4
Anchieta escrevendo na areia,4
Sagrado coração,4
Sapateiro,4
Trombonista,4
Santa ceia,4
Gaiteiro,4
Dando cambalhota,4
Carregador,4
Prato,4
D. Quixote,4
Personagem Literário,4
Madeireiro,4
Irmã,4
Pai,3
Quadro,3
Fera,3
Santo Antônio,3
Vendedor de pássaros,3
Chegada da família real portuguesa à Bahia,3
Gaúcho,3
Profeta,3
Extração de madeira,3
Transportando café,3
Santa Cecília,3
Vaca,3
Paz,3
Brasão,3
Lavando roupa,3
Pincel,3
Sancho Pança,3
Descobrimento do Brasil,3
Galinha,2
Criação de gado,2
Vida de São Francisco de Assis,2
Tocador de cuíca,2
Sanfoneiro,2
Copo,2
Tamanduá,2
Paca,2
Inconfidentes,2
Pita,2
Monsenhor,2
Cabra,2
Marinheiro,2
"""kibutz""",2
Coelho,2
Coluna Prestes,2
Máscara,2
Pulando amarelinha,2
Missa,2
Primeira missa no Brasil,2
Avó,2
Mitologia,2
Transfiguração,2
Mãe,2
Irmão,2
Espírito santo,2
São João Batista,2
Legumes,2
Concha,2
Barquinho de papel,2
Tocador de cavaquinho,2
Garrafa,2
Nossa Senhora da Conceição,2
Cultura de erva-mate,2
Vaso,2
D. Pedro I,2
Operário,2
Cutia,2
D. João VI,2
D. Carlota Joaquina,2
Malhando Judas,1
Sacrifício de Abraão,1
Nascimento de Jesus,1
Martelo,1
Cultura de feijão,1
Torquês,1
Batismo de Jesus,1
Símbolos religiosos,1
Martírio de São Sebastião,1
Touro,1
Boneca,1
Sorveteiro,1
Corça,1
Hiena,1
Arara,1
Violinista,1
Violino,1
São Gabriel,1
Castiçal,1
Xícara,1
Metalúrgico,1
Cavalo-marinho,1
Cultura de carnaúba,1
Mão,1
Tio,1
Siderurgia,1
Ordenha,1
São Jorge lutando contra o dragão,1
Anta,1
Rodando pião,1
Sapo,1
Diabo,1
Perna,1
Cultura de batata,1
Vendedor de perus,1
Estilingue,1
Jesus entre os Doutores,1
Nossa Senhora Divina Pastora,1
Chapéu,1
Chapéu de papel,1
Festa de Iemanjá,1
Navio negreiro,1
Pistonista,1
Borboleta,1
Jó,1
Pião,1
Nossa Senhora d'Aparecida,1
Brincando de diabolô,1
Tucano,1
Camelo,1
Industrialização,1
Galinha d'Angola,1
Brincando de cabra-cega,1
Estrela-do-mar,1
Estivador,1
Massacre dos inocentes,1
Baile na roça,1
Lobo,1
Tiradentes,1
Greve,1
Beija-flor,1
São Marcos,1
Samba,1
Cultura de milho,1
Padre,1
Porco,1
José Bonifácio de Andrada e Silva,1
Árvore,1
Apicultura,1
Pato,1
Coruja,1
Livro,1
Arcanjo,1
